City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Vaini,TO,-21.2,-175.2,24.09,94,75,2.06,broken clouds
79,Rodionovo-Nesvetayskaya,RU,47.6103,39.7121,16.42,53,17,6.52,few clouds
80,Gujar Khan,PK,33.2558,73.3026,21.61,88,3,3.53,clear sky
81,Hithadhoo,MV,-0.6,73.0833,25.0,88,100,5.59,moderate rain
82,Cape Town,ZA,-33.9258,18.4232,20.06,64,20,4.12,few clouds
83,Biga,TR,40.2281,27.2422,17.01,55,65,1.69,broken clouds
84,Imbituba,BR,-28.24,-48.6703,21.03,60,95,6.88,overcast clouds
85,Salalah,OM,17.0151,54.0924,28.05,89,75,5.14,broken clouds
86,Nhulunbuy,AU,-12.2333,136.7667,24.34,88,87,1.54,overcast clouds
87,Zheleznodorozhnyy,RU,55.7503,38.0042,8.29,87,100,0.68,overcast clouds
88,Muli,MV,2.9167,73.5667,27.64,77,99,4.72,overcast clouds
89,Laguna,US,38.421,-121.4238,25.54,78,0,0.89,clear sky
90,Muros,ES,42.7762,-9.0603,20.05,55,11,7.58,few clouds
91,Kapaa,US,22.0752,-159.319,23.99,94,0,3.09,clear sky
92,San Quintin,MX,30.4833,-115.95,23.76,75,0,4.27,clear sky
93,Meulaboh,ID,4.1363,96.1285,25.13,87,100,1.31,overcast clouds
94,Georgetown,MY,5.4112,100.3354,27.72,82,20,1.54,few clouds
95,Clyde River,CA,70.4692,-68.5914,6.13,65,0,5.14,clear sky
96,Codrington,AU,-38.2667,141.9667,10.38,88,100,2.3,light rain
97,Surin,TH,14.8818,103.4936,23.37,96,97,1.87,moderate rain
98,Savonlinna,FI,61.8699,28.88,7.03,93,100,3.09,overcast clouds
99,Ostrovnoy,RU,68.0531,39.5131,6.04,76,100,4.92,overcast clouds
100,Sumbe,AO,-11.2061,13.8437,22.91,80,82,4.12,broken clouds
101,Mahebourg,MU,-20.4081,57.7,22.36,73,40,5.66,scattered clouds
102,Bredasdorp,ZA,-34.5322,20.0403,16.42,71,92,3.87,overcast clouds
103,Muravlenko,RU,63.7898,74.523,-1.45,85,69,6.44,broken clouds
104,Vardo,NO,70.3705,31.1107,7.99,87,5,6.17,clear sky
105,Marsh Harbour,BS,26.5412,-77.0636,28.74,72,16,5.52,few clouds
106,Butaritari,KI,3.0707,172.7902,27.2,72,2,4.55,clear sky
107,Auki,SB,-8.7676,160.7034,24.18,87,86,1.14,overcast clouds
108,Dikson,RU,73.5069,80.5464,0.44,82,100,9.17,overcast clouds
109,Yushan,CN,31.3776,120.9543,22.21,77,92,2.02,overcast clouds
110,Vrangel,RU,42.7297,133.0839,15.13,89,85,1.26,overcast clouds
111,Ilulissat,GL,69.2167,-51.1,4.01,45,20,5.66,few clouds
112,Torbay,CA,47.6666,-52.7314,15.15,83,75,8.23,shower rain
113,Canals,ES,38.9625,-0.5844,21.68,73,99,0.45,overcast clouds
114,Port Lincoln,AU,-34.7333,135.8667,13.29,91,100,4.7,overcast clouds
115,Maraba,BR,-5.3686,-49.1178,33.1,49,75,3.09,broken clouds
116,Byron Bay,AU,-28.65,153.6167,14.97,86,30,1.17,scattered clouds
117,Pacific Grove,US,36.6177,-121.9166,15.24,94,100,2.06,mist
118,Huarmey,PE,-10.0681,-78.1522,19.47,71,74,5.92,broken clouds
119,Qaanaaq,GL,77.484,-69.3632,-0.58,73,100,6.17,overcast clouds
120,Klyuchi,RU,52.2667,79.1667,20.01,35,82,3.98,broken clouds
121,Taltal,CL,-25.4,-70.4833,17.79,62,27,3.68,scattered clouds
122,Provideniya,RU,64.3833,-173.3,1.73,80,88,2.68,overcast clouds
123,New Norfolk,AU,-42.7826,147.0587,8.73,80,66,1.16,broken clouds
124,Udachnyy,RU,66.4167,112.4,-6.84,96,99,2.86,overcast clouds
125,Salug,PH,8.1147,122.7833,25.34,85,100,2.33,overcast clouds
126,Umm Bab,QA,25.2142,50.8072,31.12,66,53,5.12,broken clouds
127,Paamiut,GL,61.994,-49.6678,6.11,93,100,6.74,moderate rain
128,Sambava,MG,-14.2667,50.1667,21.55,83,0,6.21,clear sky
129,Tiksi,RU,71.6872,128.8694,0.56,83,92,9.87,overcast clouds
130,Kodiak,US,57.79,-152.4072,1.73,93,0,3.09,clear sky
131,Pevek,RU,69.7008,170.3133,-1.53,75,23,2.02,few clouds
132,Saint-Francois,FR,46.4154,3.9054,13.71,88,100,2.57,overcast clouds
133,Ancud,CL,-41.8697,-73.8203,9.57,74,81,6.29,broken clouds
134,Flinders,AU,-34.5833,150.8552,11.21,88,34,1.34,scattered clouds
135,San Patricio,US,28.017,-97.5169,29.54,58,3,1.94,clear sky
136,Caravelas,BR,-17.7125,-39.2481,23.18,76,100,4.39,overcast clouds
137,Sakakah,SA,29.9697,40.2064,35.76,20,0,1.25,clear sky
138,Tomatlan,MX,19.9333,-105.25,29.4,71,16,0.39,few clouds
139,Oxford,GB,51.7522,-1.256,16.77,48,20,4.63,few clouds
140,Saint-Georges,GD,12.0564,-61.7485,31.82,70,40,5.14,scattered clouds
141,Castro,BR,-24.7911,-50.0119,15.29,67,97,2.88,overcast clouds
142,Champerico,GT,14.3,-91.9167,28.3,79,99,1.23,overcast clouds
143,Thompson,CA,55.7435,-97.8558,7.09,61,75,8.23,broken clouds
144,Tasiilaq,GL,65.6145,-37.6368,11.09,54,24,4.28,few clouds
145,Bubaque,GW,11.2833,-15.8333,24.63,84,100,2.94,overcast clouds
146,Coihaique,CL,-45.5752,-72.0662,10.97,50,75,3.09,broken clouds
147,Nabire,ID,-3.3667,135.4833,24.27,91,91,1.57,overcast clouds
148,San Vicente,AR,-26.6167,-54.1333,13.49,99,100,2.2,light rain
149,Movileni,RO,44.3667,24.65,19.69,28,32,1.77,scattered clouds
150,Vila Velha,BR,-20.3297,-40.2925,23.97,76,100,2.06,overcast clouds
151,Nikolskoye,RU,59.7035,30.7861,8.94,97,100,0.9,overcast clouds
152,Palafrugell,ES,41.9174,3.1631,21.92,35,92,3.58,overcast clouds
153,Ballina,AU,-28.8667,153.5667,15.01,99,50,1.7,scattered clouds
154,Sahuaripa,MX,29.05,-109.2333,27.49,61,3,0.82,clear sky
155,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,35.3,40,35,1.37,scattered clouds
156,Luganville,VU,-15.5333,167.1667,25.26,86,11,0.66,few clouds
157,Karoi,ZW,-16.8099,29.6925,23.21,36,43,2.83,scattered clouds
158,Namibe,AO,-15.1961,12.1522,19.52,74,37,4.36,scattered clouds
159,Balkanabat,TM,39.5108,54.3671,25.72,40,24,6.01,few clouds
160,Krasnoselkup,RU,65.7,82.4667,-1.59,81,96,5.83,overcast clouds
161,Kuantan,MY,3.8077,103.326,27.06,78,20,0.0,few clouds
162,Monticello,US,45.3055,-93.7941,16.85,66,0,5.66,clear sky
163,Avarua,CK,-21.2078,-159.775,23.03,83,40,5.14,scattered clouds
164,Avera,US,33.194,-82.5271,26.73,43,30,3.86,scattered clouds
165,Lebu,CL,-37.6167,-73.65,11.51,65,5,2.66,clear sky
166,Khatanga,RU,71.9667,102.5,-4.33,97,100,3.02,overcast clouds
167,Itapetinga,BR,-15.2489,-40.2478,19.99,93,100,1.21,overcast clouds
168,Chapais,CA,49.7834,-74.8492,12.88,55,68,1.99,broken clouds
169,Kununurra,AU,-15.7667,128.7333,25.99,78,98,2.57,overcast clouds
170,Yangambi,CD,0.8102,24.4336,27.01,69,75,0.57,broken clouds
171,Cananea,MX,30.95,-110.3,22.87,52,5,2.46,clear sky
172,Port Augusta,AU,-32.5,137.7667,13.81,87,67,3.24,broken clouds
173,Longyearbyen,SJ,78.2186,15.6401,6.91,70,75,4.63,broken clouds
174,Mar Del Plata,AR,-38.0023,-57.5575,15.01,74,0,5.14,clear sky
175,Bilibino,RU,68.0546,166.4372,-4.5,91,91,1.53,overcast clouds
176,Neiafu,TO,-18.65,-173.9833,24.38,88,75,0.0,broken clouds
177,Placerville,US,38.7296,-120.7986,26.55,37,0,4.12,clear sky
178,Abay,KZ,49.6311,72.8539,14.21,34,96,1.07,overcast clouds
179,Hasaki,JP,35.7333,140.8333,19.22,89,100,7.91,overcast clouds
180,Morondava,MG,-20.2833,44.2833,24.77,79,0,5.24,clear sky
181,Kavieng,PG,-2.5744,150.7967,27.65,74,4,4.77,clear sky
182,Vestmannaeyjar,IS,63.4427,-20.2734,9.55,61,0,12.35,clear sky
183,Labranzagrande,CO,5.5622,-72.575,26.13,58,100,2.92,overcast clouds
184,Bowen,AU,-20.0167,148.2333,23.25,74,1,4.97,clear sky
185,Lafiagi,NG,8.8667,5.4167,31.23,64,82,1.18,broken clouds
186,Luderitz,NA,-26.6481,15.1594,14.45,72,71,2.96,broken clouds
187,Chalus,IR,36.655,51.4204,18.7,100,100,4.12,light rain
188,Fomboni,KM,-12.28,43.7425,25.35,76,10,3.38,clear sky
189,Port Hardy,CA,50.6996,-127.4199,10.1,100,20,1.54,fog
